Brand Name,Price (INR),Product Name,Image URLs
Steppings,"Rs.1,999.00",Women Ankle-Length Boots with Zip Closure,"['https://assets.ajio.com/medias/sys_master/root/20230724/NZtP/64be9276a9b42d15c96b252e/steppings_black_women_ankle-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230724/NZtP/64be9276a9b42d15c96b251e/steppings_black_women_ankle-length_boots_with_zip_closure.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230724/NZtP/64be9276a9b42d15c96b251a/steppings_black_women_ankle-length_boots_with_zip_closure.jpg']"
ZOOM SHOES,"Rs.2,617.00",Lace-up Boots ,"['https://assets.ajio.com/medias/sys_master/root/20230628/vZfw/649b646eeebac147fc129d84/zoom_shoes_black_lace-up_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230628/vZfw/649b646eeebac147fc129d70/zoom_shoes_black_lace-up_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230628/vZfw/649b646eeebac147fc129d6a/zoom_shoes_black_lace-up_boots_.jpg']"
DELIZE,"Rs.4,550.00",Ankle-Length Stacked Boots  ,"['https://assets.ajio.com/medias/sys_master/root/20230624/SUxy/64965147eebac147fcef7e3a/delize_brown_ankle-length_stacked_boots__.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230624/SUxy/64965147eebac147fcef7e2e/delize_brown_ankle-length_stacked_boots__.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230624/SUxy/64965147eebac147fcef7e2b/delize_brown_ankle-length_stacked_boots__.jpg']"
RED TAPE,"Rs.2,511.00",Men Lace-Up Ankle-Length Boots ,"['https://assets.ajio.com/medias/sys_master/root/20231023/V3Ot/65364aebafa4cf41f55975ed/red_tape_black_men_lace-up_ankle-length_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20231023/V3Ot/65364aebafa4cf41f55975df/red_tape_black_men_lace-up_ankle-length_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20231023/V3Ot/65364aebafa4cf41f55975db/red_tape_black_men_lace-up_ankle-length_boots_.jpg']"
Hirel's,"Rs.1,350.00",Ankle Length Chelsea Boots ,"['https://assets.ajio.com/medias/sys_master/root/20230602/GeWZ/647949f1d55b7d0c6339f1ec/hirel%27s_black_ankle_length_chelsea_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230602/GeWZ/647949f1d55b7d0c6339f1d5/hirel%27s_black_ankle_length_chelsea_boots_.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230602/GeWZ/647949f1d55b7d0c6339f1d1/hirel%27s_black_ankle_length_chelsea_boots_.jpg']"
ARBUNORE,"Rs.1,720.00",Ponted-Toe Ankle-Length Boots with Bow,"['https://assets.ajio.com/medias/sys_master/root/20221129/Wlq1/63863071aeb269659cbfb4fb/arbunore_black_ponted-toe_ankle-length_boots_with_bow.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221129/Wlq1/63863071aeb269659cbfb4e7/arbunore_black_ponted-toe_ankle-length_boots_with_bow.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221129/Wlq1/63863071aeb269659cbfb4e3/arbunore_black_ponted-toe_ankle-length_boots_with_bow.jpg']"
SPYKAR,"Rs.4,799.00",Men Ankle-Length Lace-Up Boots,"['https://assets.ajio.com/medias/sys_master/root/20230712/dwoW/64aeb980eebac147fc670e7e/spykar_black_men_ankle-length_lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230712/dwoW/64aeb980eebac147fc670e6d/spykar_black_men_ankle-length_lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230712/dwoW/64aeb980eebac147fc670e69/spykar_black_men_ankle-length_lace-up_boots.jpg']"
ARBUNORE,"Rs.1,080.00",Ankle-Length Lace-Up Boots,"['https://assets.ajio.com/medias/sys_master/root/20220802/CTCC/62e93b0af997dd03e219f9d9/arbunore_grey_ankle-length_lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220802/CTCC/62e93b0af997dd03e219f9d5/arbunore_grey_ankle-length_lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220802/CTCC/62e93b0af997dd03e219f9d4/arbunore_grey_ankle-length_lace-up_boots.jpg']"
DELIZE,"Rs.4,000.00",Paneled Ankle Boots with Zip Fastening,"['https://assets.ajio.com/medias/sys_master/root/20230218/qNjC/63f06dc5f997dde6f4aff5b6/delize_black_paneled_ankle_boots_with_zip_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230218/qNjC/63f06dc5f997dde6f4aff5a8/delize_black_paneled_ankle_boots_with_zip_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230218/qNjC/63f06dc5f997dde6f4aff5a6/delize_black_paneled_ankle_boots_with_zip_fastening.jpg']"
Everqupid,"Rs.2,499.00",Women Mid-Calf Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230919/T8tB/6509be2aafa4cf41f5f1a449/everqupid_black_women_mid-calf_length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230919/T8tB/6509be2aafa4cf41f5f1a441/everqupid_black_women_mid-calf_length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230919/T8tB/6509be2aafa4cf41f5f1a43f/everqupid_black_women_mid-calf_length_boots.jpg']"
